Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,url_offset_value
36 Hours,1964,7+,7.3/10,59/100,Rent or Buy,10000
The Shipping News,2001,18+,6.7/10,59/100,Rent or Buy,10000
Vanguard,2020,13+,4.7/10,59/100,+ Rent or Buy,10000
Broken Arrow,1950,N/A,7.2/10,59/100,+ Rent or Buy,10000
A Coffee in Berlin,2012,N/A,7.4/10,59/100,+ Rent or Buy,10000
Subway,1985,18+,6.6/10,59/100,+ Rent or Buy,10000
Commitment,2013,16+,6.7/10,59/100,hiya+ Rent or Buy,10000
Double Impact,1991,18+,5.6/10,59/100,+ Rent or Buy,10000
"Clear Cut: The Story of Philomath, Oregon",2006,N/A,8.1/10,59/100,Rent or Buy,10000
Out Cold,2001,13+,6.3/10,59/100,Rent or Buy,10050
Kidulthood,2006,18+,6.8/10,59/100,Rent or Buy,10050
Sixty Six,2006,13+,6.7/10,59/100,Rent or Buy,10050
Bat*21,1988,18+,6.5/10,59/100,,10050
The Crash Reel,2013,N/A,8.2/10,59/100,+ Rent or Buy,10050
I Saw the Light,2016,18+,5.8/10,59/100,+ Rent or Buy,10050
Jim Gaffigan: Beyond the Pale,2006,16+,7.9/10,59/100,,10050
Can You Keep a Secret?,2019,N/A,5.3/10,59/100,+ Rent or Buy,10050
Pieces,1982,18+,6.1/10,59/100,+ Rent or Buy,10050
The Astronaut's Wife,1999,18+,5.4/10,59/100,+ Rent or Buy,10050
Jack and the Cuckoo-Clock Heart,2014,7+,7.0/10,59/100,+ Rent or Buy,10050
The Lawnmower Man,1992,18+,5.4/10,59/100,+ Rent or Buy,10050
Battle for the Planet of the Apes,1973,all,5.5/10,59/100,+ Rent or Buy,10050
Passion,2012,18+,5.3/10,59/100,+ Rent or Buy,10050
The Elementary School,1991,N/A,7.9/10,59/100,Rent or Buy,10050
My Dog Skip,2000,7+,7.0/10,59/100,Rent or Buy,10050
Ju Dou,1990,13+,7.7/10,59/100,Rent or Buy,10050
The Back-Up Plan,2010,13+,5.4/10,59/100,Rent or Buy,10050
When a Stranger Calls,2006,13+,5.1/10,59/100,+ Rent or Buy,10050
The Immigrant,1917,N/A,7.6/10,59/100,film+ Rent or Buy,10050
Wonder Man,1945,N/A,7.0/10,59/100,,10050
Atlas Shrugged: Part I,2011,13+,5.6/10,59/100,+ Rent or Buy,10050
Books of Blood,2020,18+,5.6/10,59/100,,10050
Take Your Pills,2018,N/A,6.4/10,59/100,,10050
Swing Kids,1993,13+,6.8/10,59/100,+ Rent or Buy,10050
The Cat in the Hat,2003,7+,4.0/10,59/100,+ Rent or Buy,10050
War,2019,N/A,6.5/10,59/100,Rent or Buy,10050
A Touch of Zen,1971,N/A,7.6/10,59/100,+ Rent or Buy,10050
Little Man Tate,1991,7+,6.6/10,59/100,+ Rent or Buy,10050
Friends with Money,2006,18+,5.8/10,59/100,+ Rent or Buy,10050
Richard Pryor: Live on the Sunset Strip,1982,18+,7.7/10,59/100,+ Rent or Buy,10050
No Mercy,2010,N/A,7.5/10,59/100,Rent or Buy,10050
Vera Cruz,1954,N/A,7.1/10,59/100,+ Rent or Buy,10050
Tomorrow,2015,N/A,8.0/10,59/100,,10050
The Snow Walker,2003,7+,7.3/10,59/100,+ Rent or Buy,10050
Rush,1991,18+,6.8/10,59/100,+ Rent or Buy,10050
Borgman,2013,N/A,6.8/10,59/100,+ Rent or Buy,10050
The Beauty Inside,2015,N/A,7.4/10,59/100,+ Rent or Buy,10050
The Last Airbender,2010,7+,4.0/10,59/100,+ Rent or Buy,10050
Ride Your Wave,2019,N/A,6.8/10,59/100,+ Rent or Buy,10050
Whiteout,2009,18+,5.5/10,59/100,+ Rent or Buy,10050
Cats Don't Dance,1997,all,6.9/10,59/100,+ Rent or Buy,10050
They Were Expendable,1945,N/A,7.2/10,59/100,Rent or Buy,10050
Damage,1992,18+,6.8/10,59/100,Rent or Buy,10050
Slow Learners,2015,N/A,5.8/10,59/100,Rent or Buy,10050
Cleaner,2007,18+,6.1/10,59/100,+ Rent or Buy,10050
The Delta Force,1986,18+,5.6/10,59/100,+ Rent or Buy,10050
A Good Woman,2004,7+,6.5/10,59/100,+ Rent or Buy,10050
A Chinese Odyssey Part One: Pandora's Box,1995,N/A,7.7/10,59/100,Rent or Buy,10050
Charlie Countryman,2013,18+,6.4/10,59/100,+ Rent or Buy,10050
Ashfall,2019,N/A,6.2/10,59/100,+ Rent or Buy,10100
Janis: Little Girl Blue,2015,18+,7.4/10,59/100,+ Rent or Buy,10100
Jesse Stone: Lost in Paradise,2015,16+,7.3/10,59/100,+ Rent or Buy,10100
Bravetown,2015,18+,6.2/10,59/100,+ Rent or Buy,10100
Seed of Chucky,2004,18+,4.8/10,59/100,+ Rent or Buy,10100
The China Hustle,2018,18+,7.2/10,59/100,+ Rent or Buy,10100
Redirected,2014,18+,6.6/10,59/100,,10100
Zero Effect,1998,18+,6.9/10,59/100,Rent or Buy,10100
A Gray State,2017,18+,6.2/10,59/100,Rent or Buy,10100
Babe: Pig in the City,1998,all,5.8/10,59/100,+ Rent or Buy,10100
Showtime,2002,13+,5.5/10,59/100,+ Rent or Buy,10100
Wazir,2016,13+,7.1/10,59/100,,10100
Audrey,2020,16+,7.2/10,59/100,+ Rent or Buy,10100
Husk,2011,18+,5.2/10,59/100,+ Rent or Buy,10100
Boomerang,1992,18+,5.5/10,59/100,Rent or Buy,10100
Little Italy,2018,7+,5.7/10,59/100,+ Rent or Buy,10100
Young Mr. Lincoln,1939,7+,7.6/10,59/100,+ Rent or Buy,10100
The Go-Between,1971,7+,7.3/10,59/100,+ Rent or Buy,10100
Talk to Me,2007,18+,7.3/10,59/100,+ Rent or Buy,10100
Inside I'm Dancing,2004,18+,7.8/10,59/100,Rent or Buy,10100
Violet & Daisy,2011,18+,6.1/10,59/100,cont+ Rent or Buy,10100
Garfield,2004,7+,5.0/10,59/100,Rent or Buy,10100
White Girl,2016,N/A,5.7/10,59/100,+ Rent or Buy,10100
Freak Show,2018,N/A,6.6/10,59/100,+ Rent or Buy,10100
Remember Sunday,2013,7+,6.9/10,59/100,+ Rent or Buy,10100
The Secret,2006,7+,5.6/10,59/100,+ Rent or Buy,10100
The Pickup Game,2019,18+,8.0/10,59/100,+ Rent or Buy,10100
Freddy's Dead: The Final Nightmare,1991,18+,4.9/10,59/100,+ Rent or Buy,10100
Dirty Girl,2010,18+,6.4/10,59/100,+ Rent or Buy,10100
My Little Pony: Equestria Girls - Rainbow Rocks,2014,all,7.0/10,59/100,+ Rent or Buy,10100
Intruders,2011,18+,5.4/10,59/100,+ Rent or Buy,10100
Son of the White Mare,1981,N/A,7.9/10,59/100,,10100
License to Wed,2007,13+,5.3/10,59/100,+ Rent or Buy,10100
Darling,1965,18+,7.1/10,59/100,+ Rent or Buy,10100
Remo Williams: The Adventure Begins,1985,13+,6.5/10,59/100,Rent or Buy,10100
The Sacrament,2013,18+,6.1/10,59/100,mons+ Rent or Buy,10100
Safety,2020,7+,6.9/10,59/100,,10100
Earth to Echo,2014,7+,5.8/10,59/100,+ Rent or Buy,10100
The Invisible,2007,13+,6.2/10,59/100,+ Rent or Buy,10100
The Accidental Husband,2008,13+,5.6/10,59/100,+ Rent or Buy,10100
Soul Food,1997,18+,7.0/10,59/100,+ Rent or Buy,10100
Tarzan Escapes,1936,N/A,6.6/10,59/100,Rent or Buy,10100
The Story of Marie and Julien,2003,N/A,6.9/10,59/100,Rent or Buy,10100
Simon of the Desert,1965,N/A,8.0/10,59/100,,10100
The Rolling Stones: Charlie Is My Darling - Ireland 1965,2012,N/A,7.4/10,59/100,Rent or Buy,10100
David Brent: Life on the Road,2016,N/A,6.3/10,59/100,+ Rent or Buy,10100
Film Stars Don't Die in Liverpool,2017,18+,6.7/10,59/100,+ Rent or Buy,10100
The Story of O,1975,18+,5.3/10,59/100,+ Rent or Buy,10100
Dragon Quest: Your Story,2019,7+,6.6/10,59/100,,10100
Paranoia,2013,13+,5.7/10,59/100,+ Rent or Buy,10100
The Pass,2016,N/A,6.5/10,59/100,+ Rent or Buy,10150
47 Meters Down: Uncaged,2019,13+,5.0/10,59/100,+ Rent or Buy,10150
Rock On!!,2008,N/A,7.7/10,59/100,+ Rent or Buy,10150
Treasure Island,1950,7+,6.9/10,59/100,+ Rent or Buy,10150
The Legend of Bhagat Singh,2002,N/A,8.1/10,59/100,+ Rent or Buy,10150
Morning Glory,1933,N/A,6.4/10,59/100,Rent or Buy,10150
The Hills Have Eyes 2,2007,18+,5.1/10,59/100,+ Rent or Buy,10150
Run & Jump,2014,N/A,6.3/10,59/100,Rent or Buy,10150
My Family and Other Animals,2005,7+,7.4/10,59/100,,10150
Girl Most Likely,2012,13+,5.8/10,59/100,+ Rent or Buy,10150
Fate/stay night: Heaven's Feel I. Presage Flower,2017,18+,7.4/10,59/100,Rent or Buy,10150
"Welcome, or No Trespassing",1964,N/A,8.1/10,59/100,,10150
The Round Up,2010,N/A,7.1/10,59/100,+ Rent or Buy,10150
Point Blank,2010,18+,6.8/10,59/100,warr+ Rent or Buy,10150
Skins,2017,18+,6.2/10,59/100,,10150
Lost Soul: The Doomed Journey of Richard Stanley's “Island of Dr. Moreau”,2014,N/A,7.5/10,59/100,+ Rent or Buy,10150
Barbie as Rapunzel,2002,all,6.5/10,59/100,Rent or Buy,10150
Lady Jane,1986,13+,7.1/10,59/100,+ Rent or Buy,10150
The House by the Cemetery,1981,18+,6.2/10,59/100,full+ Rent or Buy,10150
The Greatest Story Ever Told,1965,all,6.6/10,59/100,+ Rent or Buy,10150
Sadece Sen,2014,13+,7.3/10,59/100,Rent or Buy,10150
Blancanieves,2012,13+,7.5/10,59/100,+ Rent or Buy,10150
The Hospital,1971,13+,7.2/10,59/100,+ Rent or Buy,10150
Knockaround Guys,2001,18+,6.1/10,59/100,+ Rent or Buy,10150
G-Force,2009,7+,5.1/10,59/100,+ Rent or Buy,10150
Ricki and the Flash,2015,13+,5.9/10,59/100,Rent or Buy,10150
Trust,1990,18+,7.3/10,59/100,Rent or Buy,10150
Von Ryan's Express,1965,N/A,7.1/10,59/100,Rent or Buy,10150
Did You Hear About the Morgans?,2009,13+,4.9/10,59/100,+ Rent or Buy,10150
Little Big League,1994,7+,6.1/10,59/100,+ Rent or Buy,10150
Extinction,2015,18+,5.9/10,59/100,+ Rent or Buy,10150
Familia,2005,N/A,7.1/10,59/100,,10150
Hired Gun,2017,N/A,7.2/10,59/100,+ Rent or Buy,10150
Raajneeti,2010,7+,7.1/10,59/100,,10150
A Fall from Grace,2020,18+,5.9/10,59/100,,10150
Modest Heroes,2018,7+,6.6/10,59/100,+ Rent or Buy,10150
Madonna: Truth or Dare,1991,18+,6.3/10,59/100,+ Rent or Buy,10150
10 to Midnight,1983,18+,6.3/10,59/100,+ Rent or Buy,10150
Slaughterhouse-Five,1972,18+,6.9/10,59/100,Rent or Buy,10150
Animals Are Beautiful People,1974,all,8.3/10,59/100,Rent or Buy,10150
Trespass,2011,18+,5.3/10,59/100,+ Rent or Buy,10150
Perrier's Bounty,2009,18+,6.4/10,59/100,Rent or Buy,10150
"The Goods: Live Hard, Sell Hard",2009,18+,5.8/10,59/100,+ Rent or Buy,10150
Jumping the Broom,2011,13+,5.7/10,59/100,+ Rent or Buy,10150
"I Love You, Beth Cooper",2009,13+,5.3/10,59/100,+ Rent or Buy,10150
Rock-A-Doodle,1991,all,6.1/10,59/100,+ Rent or Buy,10150
The Miracle of Morgan’s Creek,1943,N/A,7.6/10,59/100,+ Rent or Buy,10150
The Courtship of Eddie's Father,1963,N/A,6.8/10,59/100,Rent or Buy,10150
Kevin Hart: What Now?,2016,18+,5.9/10,59/100,+ Rent or Buy,10150
Let Us Prey,2014,18+,5.8/10,59/100,+ Rent or Buy,10150
The Omen,2006,18+,5.5/10,59/100,Rent or Buy,10200
Russell Brand: Messiah Complex,2013,18+,7.3/10,59/100,,10200
Operation Varsity Blues: The College Admissions Scandal,2021,18+,7.0/10,59/100,,10200
Sex and the City 2,2010,18+,4.5/10,59/100,+ Rent or Buy,10200
Becoming Warren Buffett,2017,13+,7.6/10,59/100,+ Rent or Buy,10200
Altered Carbon: Resleeved,2020,18+,6.5/10,59/100,,10200
The Devil's Brigade,1968,N/A,6.8/10,59/100,+ Rent or Buy,10200
Like a Boss,2020,18+,4.6/10,59/100,+ Rent or Buy,10200
Stromboli,1950,N/A,7.3/10,59/100,+ Rent or Buy,10200
Daphne,2017,18+,6.1/10,59/100,,10200
Neruda,2016,18+,6.8/10,59/100,+ Rent or Buy,10200
Party Monster,2003,18+,6.3/10,59/100,+ Rent or Buy,10200
New Gods: Nezha Reborn,2021,13+,6.9/10,59/100,,10200
The Duel,2016,13+,5.8/10,59/100,+ Rent or Buy,10200
Our Mother's House,1967,N/A,7.3/10,59/100,Rent or Buy,10200
The Pit and the Pendulum,1991,18+,6.0/10,59/100,+ Rent or Buy,10200
Hardcore,1979,18+,7.0/10,59/100,Rent or Buy,10200
The Curse of Frankenstein,1957,N/A,7.1/10,59/100,+ Rent or Buy,10200
We Are the Best!,2013,N/A,7.2/10,59/100,+ Rent or Buy,10200
Secret Admirer,1985,18+,6.6/10,59/100,,10200
"ariana grande: excuse me, i love you",2020,N/A,6.4/10,59/100,,10200
Fantomas,1964,N/A,7.0/10,59/100,Rent or Buy,10200
Reflections in a Golden Eye,1967,N/A,6.8/10,59/100,+ Rent or Buy,10200
Jesse Stone: Innocents Lost,2011,N/A,7.2/10,59/100,+ Rent or Buy,10200
The Freshman,1990,7+,6.5/10,59/100,Rent or Buy,10200
Nightwatch,1997,18+,6.2/10,59/100,Rent or Buy,10200
City Hall,2020,N/A,7.4/10,59/100,,10200
Brown Sugar,2002,13+,6.5/10,59/100,+ Rent or Buy,10200
Incarnate,2016,13+,5.3/10,59/100,+ Rent or Buy,10200
Brokedown Palace,1999,13+,6.5/10,59/100,Rent or Buy,10200
Elvis & Nixon,2016,18+,6.4/10,59/100,+ Rent or Buy,10200
102 Dalmatians,2000,all,4.9/10,59/100,+ Rent or Buy,10200
Kung Fu Jungle,2014,N/A,6.5/10,59/100,hiya+ Rent or Buy,10200
How to Succeed in Business Without Really Trying,1967,N/A,7.2/10,59/100,+ Rent or Buy,10200
Alex Cross,2012,13+,5.2/10,59/100,+ Rent or Buy,10200
Family Plot,1976,7+,6.8/10,59/100,Rent or Buy,10200
"Liza, the Fox-Fairy",2015,N/A,7.6/10,59/100,+ Rent or Buy,10200
The Foot Fist Way,2006,18+,6.3/10,59/100,+ Rent or Buy,10200
Broken Trail,2006,N/A,7.7/10,59/100,Rent or Buy,10200
The Dance of Reality,2013,N/A,7.5/10,59/100,+ Rent or Buy,10200
Raising Victor Vargas,2002,18+,7.2/10,59/100,+ Rent or Buy,10200
Daniel Isn't Real,2019,N/A,6.1/10,59/100,+ Rent or Buy,10200
Flesh and Blood,2017,N/A,5.5/10,59/100,+ Rent or Buy,10200
Elena,2011,N/A,7.3/10,59/100,+ Rent or Buy,10200
QT8: The First Eight,2019,18+,7.3/10,59/100,+ Rent or Buy,10200
"My Son, My Son, What Have Ye Done",2009,18+,6.2/10,59/100,Rent or Buy,10200
The Apostle,1997,13+,7.2/10,59/100,Rent or Buy,10200
Swim Team,2016,N/A,7.5/10,59/100,Rent or Buy,10200
Rain,2001,7+,7.8/10,59/100,+ Rent or Buy,10200
Mom,2017,18+,7.3/10,59/100,,10200
Acts of Vengeance,2017,18+,5.7/10,59/100,+ Rent or Buy,10250
Viva Zapata!,1952,N/A,7.4/10,59/100,Rent or Buy,10250
The Perfect Game,2010,7+,6.9/10,59/100,+ Rent or Buy,10250
Heavy Trip,2018,N/A,7.0/10,59/100,+ Rent or Buy,10250
The Dhamma Brothers,2007,N/A,7.6/10,59/100,Rent or Buy,10250
Betrayed,1988,18+,6.3/10,59/100,+ Rent or Buy,10250
The Cave,2019,13+,7.5/10,59/100,,10250
The Deserted Station,2002,N/A,6.6/10,59/100,,10250
Bye Bye Birdie,1963,all,6.6/10,59/100,Rent or Buy,10250
Final Score,2018,18+,5.8/10,59/100,+ Rent or Buy,10250
The Wizard,1989,7+,6.1/10,59/100,Rent or Buy,10250
Salon Kitty,1976,N/A,5.4/10,59/100,Rent or Buy,10250
Scaramouche,1952,N/A,7.5/10,59/100,Rent or Buy,10250
Clip,2012,N/A,5.7/10,59/100,Rent or Buy,10250
The Spacewalker,2017,7+,7.3/10,59/100,Rent or Buy,10250
Crossfire,1947,N/A,7.3/10,59/100,+ Rent or Buy,10250
The 3 Worlds of Gulliver,1960,N/A,6.5/10,59/100,Rent or Buy,10250
Open Season 2,2008,7+,5.6/10,59/100,+ Rent or Buy,10250
The Black Cat,1934,N/A,7.0/10,59/100,Rent or Buy,10250
Tony Benn: Will and Testament,2014,N/A,8.1/10,59/100,Rent or Buy,10250
The Secret Life of Walter Mitty,1947,N/A,7.0/10,59/100,+ Rent or Buy,10250
Nurse Betty,2000,18+,6.2/10,59/100,Rent or Buy,10250
Storefront Hitchcock,1998,13+,6.6/10,59/100,+ Rent or Buy,10250
Back in Time,2015,N/A,6.3/10,59/100,+ Rent or Buy,10250
Trinity And Beyond: The Atomic Bomb Movie,1995,N/A,7.9/10,59/100,Rent or Buy,10250
All About the Benjamins,2002,18+,5.9/10,59/100,+ Rent or Buy,10250
Bad Hair,2021,N/A,5.6/10,59/100,,10250
Stander,2003,18+,7.1/10,59/100,+ Rent or Buy,10250
Standing in the Shadows of Motown,2002,7+,7.8/10,59/100,+ Rent or Buy,10250
The Mystery of D.B. Cooper,2020,16+,6.5/10,59/100,,10250
W.E.,2011,18+,6.3/10,59/100,+ Rent or Buy,10250
Of Gods and Men,2010,13+,7.2/10,59/100,Rent or Buy,10250
Burnt by the Sun,1994,18+,7.9/10,59/100,Rent or Buy,10250
Justice League vs. the Fatal Five,2019,13+,6.5/10,59/100,Rent or Buy,10250
Burn the Stage: The Movie,2018,N/A,8.8/10,59/100,,10250
The Chinese Feast,1995,N/A,6.9/10,59/100,Rent or Buy,10250
Ted Bundy,2002,18+,5.8/10,59/100,+ Rent or Buy,10250
Two Hands,1999,18+,7.1/10,59/100,Rent or Buy,10250
The Music Never Stopped,2011,7+,7.5/10,59/100,+ Rent or Buy,10250
Targets,1968,18+,7.4/10,59/100,Rent or Buy,10250
Betting on Zero,2017,N/A,7.2/10,59/100,+ Rent or Buy,10250
200 Pounds Beauty,2006,N/A,6.7/10,59/100,+ Rent or Buy,10250
The Housemaid,2010,N/A,6.4/10,59/100,Rent or Buy,10250
My Favorite Year,1982,7+,7.4/10,59/100,Rent or Buy,10250
Final Analysis,1992,18+,5.9/10,59/100,+ Rent or Buy,10250
Kidnapping Mr. Heineken,2015,18+,6.1/10,59/100,+ Rent or Buy,10250
The Domestics,2018,18+,5.7/10,59/100,+ Rent or Buy,10250
"East Side, West Side",1949,N/A,6.9/10,59/100,Rent or Buy,10250
Superlópez,2018,N/A,5.4/10,59/100,,10250
White Nights,1985,13+,6.7/10,59/100,Rent or Buy,10250
Deception,2008,18+,6.1/10,59/100,Rent or Buy,10300
I Am Heath Ledger,2017,N/A,7.4/10,59/100,+ Rent or Buy,10300
Doodlebug,1997,N/A,7.1/10,59/100,,10300
Beasts Clawing at Straws,2020,N/A,7.1/10,59/100,+ Rent or Buy,10300
Attack on Titan,2015,N/A,5.0/10,59/100,Rent or Buy,10300
Viral,2016,18+,5.5/10,59/100,+ Rent or Buy,10300
Basket Case 2,1990,18+,5.4/10,59/100,Rent or Buy,10300
Make the Yuletide Gay,2009,N/A,6.6/10,59/100,Rent or Buy,10300
Hoodlum,1997,18+,6.3/10,59/100,+ Rent or Buy,10300
Paris 05:59: Théo & Hugo,2016,N/A,6.9/10,59/100,+ Rent or Buy,10300
The Work and the Glory III: A House Divided,2006,7+,6.6/10,59/100,+ Rent or Buy,10300
Le Deuxième Souffle,1966,N/A,7.9/10,59/100,+ Rent or Buy,10300
Prozac Nation,2001,18+,6.3/10,59/100,Rent or Buy,10300
Crazy Horse,2011,N/A,6.4/10,59/100,,10300
The Operative,2019,18+,5.7/10,59/100,+ Rent or Buy,10300
Reaching for the Moon,2013,N/A,7.0/10,59/100,+ Rent or Buy,10300
Madea's Family Reunion,2006,13+,5.3/10,59/100,Rent or Buy,10300
Wizards,1977,7+,6.5/10,59/100,Rent or Buy,10300
Taking Care of Business,1990,18+,6.4/10,59/100,Rent or Buy,10300
Lust for Life,1956,N/A,7.4/10,59/100,Rent or Buy,10300
CBGB,2013,18+,6.6/10,59/100,+ Rent or Buy,10300
Paradise Lost 2: Revelations,2000,N/A,7.6/10,59/100,+ Rent or Buy,10300
Comedy Central Roast of James Franco,2013,18+,7.7/10,59/100,+ Rent or Buy,10300
Armadillo,2010,N/A,7.5/10,59/100,+ Rent or Buy,10300
Einstein and Eddington,2008,13+,7.3/10,59/100,,10300
Nighthawks,1981,18+,6.4/10,59/100,Rent or Buy,10300
The Pope of Greenwich Village,1984,18+,6.7/10,59/100,,10300
The Son of Bigfoot,2017,7+,6.1/10,59/100,+ Rent or Buy,10300
So Close,2002,18+,6.7/10,59/100,+ Rent or Buy,10300
Of Human Bondage,1934,N/A,7.1/10,59/100,+ Rent or Buy,10300
The 15:17 to Paris,2018,13+,5.3/10,59/100,Rent or Buy,10300
Che: Part Two,2009,18+,6.9/10,59/100,Rent or Buy,10300
The Art of War,2000,18+,5.7/10,59/100,+ Rent or Buy,10300
Wildling,2018,18+,5.5/10,59/100,+ Rent or Buy,10300
Words and Pictures,2014,13+,6.6/10,59/100,+ Rent or Buy,10300
Spree,2020,N/A,5.9/10,59/100,+ Rent or Buy,10300
Babylon A.D.,2008,13+,5.6/10,59/100,Rent or Buy,10300
Beats Rhymes & Life: The Travels of A Tribe Called Quest,2011,18+,7.7/10,59/100,+ Rent or Buy,10300
The Ghost & Mr. Chicken,1966,all,7.3/10,59/100,Rent or Buy,10300
The Paper,1994,18+,6.6/10,59/100,Rent or Buy,10300
Bad Company,2002,13+,5.6/10,59/100,Rent or Buy,10300
Blackbeard's Ghost,1968,all,6.9/10,59/100,+ Rent or Buy,10300
Polyester,1981,18+,7.1/10,59/100,Rent or Buy,10300
Radio Rebel,2012,all,5.9/10,59/100,+ Rent or Buy,10300
The Great Hip Hop Hoax,2013,N/A,7.1/10,59/100,+ Rent or Buy,10300
Only the Lonely,1991,13+,6.4/10,59/100,,10300
Conor McGregor: Notorious,2017,18+,7.1/10,59/100,+ Rent or Buy,10300
The Leisure Seeker,2018,18+,6.7/10,59/100,+ Rent or Buy,10300
Bambi II,2006,all,6.1/10,59/100,+ Rent or Buy,10300
The Man from Laramie,1955,7+,7.3/10,59/100,Rent or Buy,10300
Wild Bill,2011,N/A,7.2/10,59/100,+ Rent or Buy,10350
My Beautiful Broken Brain,2014,N/A,7.1/10,59/100,,10350
Don Juan,1926,N/A,7.0/10,59/100,Rent or Buy,10350
The Trip to Italy,2014,N/A,6.7/10,59/100,+ Rent or Buy,10350
Misbehaviour,2020,N/A,6.3/10,59/100,+ Rent or Buy,10350
I'm So Excited!,2013,18+,5.6/10,59/100,+ Rent or Buy,10350
The Paper Chase,1973,7+,7.2/10,59/100,Rent or Buy,10350
Mad Money,2008,13+,5.8/10,59/100,+ Rent or Buy,10350
The Odessa File,1974,7+,7.0/10,59/100,Rent or Buy,10350
Deep Web,2015,18+,7.0/10,59/100,Rent or Buy,10350
Looney Tunes: Back in Action,2003,7+,5.7/10,59/100,Rent or Buy,10350
Sounder,1972,all,7.6/10,59/100,upfa+ Rent or Buy,10350
The Tuskegee Airmen,1995,13+,7.2/10,59/100,+ Rent or Buy,10350
The Broken Hearts Gallery,2020,13+,6.3/10,59/100,+ Rent or Buy,10350
The 9th Life of Louis Drax,2016,18+,6.3/10,59/100,Rent or Buy,10350
Prime,2005,13+,6.2/10,59/100,Rent or Buy,10350
The Kill Team,2019,18+,5.9/10,59/100,+ Rent or Buy,10350
Donovan's Reef,1963,all,6.9/10,59/100,+Rent or Buy,10350
The Stranger,1991,N/A,8.1/10,59/100,,10350
Heaven Knows What,2015,18+,6.8/10,59/100,+ Rent or Buy,10350
Misunderstood,2014,N/A,6.7/10,59/100,Rent or Buy,10350
Girls Just Want to Have Fun,1985,7+,6.0/10,59/100,+ Rent or Buy,10350
Welcome to Me,2014,18+,5.9/10,59/100,+ Rent or Buy,10350
Ladies in Lavender,2004,13+,7.0/10,59/100,+ Rent or Buy,10350
Still Life,2006,N/A,7.3/10,59/100,+ Rent or Buy,10350
Ode to Billy Joe,1976,7+,6.5/10,59/100,Rent or Buy,10350
My Favorite Wife,1940,N/A,7.3/10,59/100,Rent or Buy,10350
D.E.B.S.,2004,13+,5.3/10,59/100,+ Rent or Buy,10350
